ip,mac,vendor,mac_type
172.17.102.193,2c:58:b9:58:37:b5,Unknown,globally-unique
172.17.102.196,7c:4d:8f:9f:2d:c2,Unknown,globally-unique
172.17.102.198,20:4e:f6:4e:a3:d5,AzureWave Technology,globally-unique
172.17.102.199,a8:a1:59:e7:94:5f,ASRock Incorporation,globally-unique
172.17.102.200,f0:23:b9:5d:cd:3f,Ieee Registration Authority,globally-unique
172.17.102.202,7c:21:4a:46:ba:86,Unknown,globally-unique
172.17.102.205,c0:bf:be:a7:f9:7d,Unknown,globally-unique
172.17.102.209,70:15:fb:14:de:3a,Unknown,globally-unique
172.17.102.210,40:7a:a4:c6:98:62,Zhejiang Dahua Technology,globally-unique
172.17.102.211,34:0a:33:9c:3e:f1,D-Link International,globally-unique
172.17.102.218,50:eb:f6:21:ba:4d,Unknown,globally-unique
172.17.102.219,48:22:54:6f:79:8c,Unknown,globally-unique
172.17.102.228,50:eb:f6:21:ba:5f,Unknown,globally-unique
172.17.102.230,3e:78:95:05:c5:ac,Unknown,locally-admin
172.17.102.232,88:ae:dd:61:9c:2a,EliteGroup Computer Systems,globally-unique
172.17.102.239,74:56:3c:3d:3c:85,Unknown,globally-unique
172.17.102.248,18:60:24:7f:08:62,Hewlett Packard,globally-unique
172.17.102.249,00:d4:9e:28:00:c3,Unknown,globally-unique
